,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
0,1070968,ultimate investment banking course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23,51,all levels,1.5,2017-01-18 20:58:58+00:00,business finance
1,1113822,complete gst course & certification - grow your ca practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923,274,all levels,39.0,2017-03-09 16:34:20+00:00,business finance
2,1006314,financial modeling for business analysts and consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,True,45,2174,74,51,intermediate level,2.5,2016-12-19 19:26:30+00:00,business finance
3,1210588,beginner to pro - financial analysis in excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11,36,all levels,3.0,2017-05-30 20:07:24+00:00,business finance
4,1011058,how to maximize your profits trading options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,True,200,1276,45,26,intermediate level,2.0,2016-12-13 14:57:18+00:00,business finance
5,192870,trading penny stocks: a guide for all levels in 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,True,150,9221,138,25,all levels,3.0,2014-05-02 15:13:30+00:00,business finance
6,739964,investing and trading for beginners: mastering price charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,True,65,1540,178,26,beginner level,1.0,2016-02-21 18:23:12+00:00,business finance
7,403100,"trading stock chart patterns for immediate, explosive gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95,2917,148,23,all levels,2.5,2015-01-30 22:13:03+00:00,business finance
8,476268,options trading 3 : advanced stock profit and success method,https://www.udemy.com/day-trading-stock-options-3/,True,195,5172,34,38,expert level,2.5,2015-05-28 00:14:03+00:00,business finance
9,1167710,the only investment strategy you need for your retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14,15,all levels,1.0,2017-04-18 18:13:32+00:00,business finance
10,592338,forex trading secrets of the pros with amazon's aws,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True,200,4284,93,76,all levels,5.0,2015-09-11 16:47:02+00:00,business finance
11,975046,trading options with money flow,https://www.udemy.com/trading-options-using-money-flow/,True,200,1380,42,17,all levels,1.0,2016-10-18 22:52:31+00:00,business finance
